,synID,x,y,frame,frameRelat,timeFromLast,distFromLast,cluster,cluster_o,G
0,58506,20.567313215729573,19.36056054070736,1305,1,,,0.0,-1.0,"b""\x80\x04\x95\xc1\x01\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@4\x91;p\\%\xa9\x8c\x01y\x94G@3\\M\xb2\x12\x90\xf2uK\x01}\x94(h\nG@6\xe3AI\x82\xc2>h\x0bG@5[/\x831t\xbbuK\x02}\x94(h\nG@5\x80\xfeH\x1a'\xa7h\x0bG@6\xb8LR\x042juK\x03}\x94(h\nG@7\x1c\xb4$\xfc\xecvh\x0bG@6Y\xf9\x1e\xdd\xe5LuK\x04}\x94(h\nG@82\xe1\xeb'L'h\x0bG@8\x15\xb6\x15\x82Uwuu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@o@\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@f\x05\xd2\x91\xfa\x18@usK\x01}\x94K\x02}\x94(h\x14G@\x9c\xe8\x00\x00\x00\x00\x00h\x15G@h\xe84\x0b\xad\x0e\xe4usK\x02}\x94K\x03}\x94(h\x14G@\xbd~\x00\x00\x00\x00\x00h\x15G@\x81\xaaO\xfc\xc1}\xc8usK\x03}\x94K\x04}\x94(h\x14G@\x8f@\x00\x00\x00\x00\x00h\x15G@f)\xad\xa3\x06\xfc\nusK\x04}\x94u\x8c\x05_succ\x94h\x11\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x13sK\x02}\x94K\x01h\x17sK\x03}\x94K\x02h\x19sK\x04}\x94K\x03h\x1bsuub."""
1,58506,22.887714952872777,21.35619373280927,1665,1,18000.0,265.2456414289462,1.0,-1.0,
2,58506,21.50388003004596,22.719914556526795,1725,1,3000.0,168.38190263164515,2.0,-1.0,
3,58506,23.112123786686844,22.351457528280022,1885,1,8000.0,142.99240087646356,3.0,-1.0,
4,58506,24.19875974378024,24.08480963165263,1905,1,1000.0,177.30251409477742,4.0,-1.0,
5,35877,21.434285454171807,20.105737032358917,205,1,,,0.0,-1.0,"b'\x80\x04\x95\x07\x02\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@5o-T\xde\xcb\xe2\x8c\x01y\x94G@4\x1b\x11\x95\x07\xf5(uK\x01}\x94(h\nG@5\xa4XD\xf7?ch\x0bG@5{z\xce\xa7\x82GuK\x02}\x94(h\nG@4\xb4\xde\xbb\xd9\xa3Wh\x0bG@5St\xd5s\xf7(uK\x03}\x94(h\nG@7\x183^?\xc7Bh\x0bG@4\xd2L(\x90{\xe9uK\x04}\x94(h\nG@5o\xb8\x9a9\xe6&h\x0bG@75\x00K\xe3\xdb\xbauK\x05}\x94(h\nG@5\x1c,\x93%!\xe5h\x0bG@3\x16\xac\xae\xc8\xa9\x7fuu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\x8f@\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@^)\xfb6\xf7D\x19usK\x01}\x94K\x02}\x94(h\x15G@\xb5\xae\x00\x00\x00\x00\x00h\x16G@]\x8d\xd0\x8al\xc4\x95usK\x02}\x94K\x03}\x94(h\x15G@u\xe0\x00\x00\x00\x00\x00h\x16G@b]\x8fy3\x01\xa8usK\x03}\x94K\x04}\x94(h\x15G@\x93\x88\x00\x00\x00\x00\x00h\x16G@E/\xd96e\xa7\xbbusK\x04}\x94K\x05}\x94(h\x15G@\x9c\xe8\x00\x00\x00\x00\x00h\x16G@uK\xe7{\x9f\xb9\x19usK\x05}\x94u\x8c\x05_succ\x94h\x12\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x14sK\x02}\x94K\x01h\x18sK\x03}\x94K\x02h\x1asK\x04}\x94K\x03h\x1csK\x05}\x94K\x04h\x1esuub.'"
6,35877,21.641971884120164,21.482342639823653,225,1,1000.0,120.6560043352438,1.0,-1.0,
7,35877,20.706523647913254,21.3260014923209,585,1,18000.0,82.19668110981341,2.0,-1.0,
8,35877,23.09453381592835,20.82147458579485,725,1,7000.0,211.52960685847492,3.0,-1.0,
9,35877,21.43641055978346,23.207035773400754,1805,1,54000.0,251.78540752246488,4.0,-1.0,
10,35877,21.110055157247093,19.088572429647225,2245,1,22000.0,358.052519943537,5.0,-1.0,
11,93713,22.233484995194253,20.90436017507021,1145,1,,,0.0,0.0,b'\x80\x04\x95\xc1\x01\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@6;\xc5\xac2wN\x8c\x01y\x94G@4\xe7\x84%\xff\xbb<uK\x01}\x94(h\nG@6z\xdd6\x84aqh\x0bG@4\xaf\xb1V\xa3E\x1cuK\x02}\x94(h\nG@3\xa5\xc8\xa7\xfc\r\xb4h\x0bG@3_!qd\xa6\x03uK\x03}\x94(h\nG@5\x80\nZ\x98!jh\x0bG@4\x88%\xc0R\xc0\xb4uK\x04}\x94(h\nG@56\x83\xdc\x9fB\xc9h\x0bG@5_(\xa4o\xdf\x99uu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\xa7p\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@<\x85\x0b\xb2\xb8\x1c\x95usK\x01}\x94K\x02}\x94(h\x14G@\xb0\x9a\x00\x00\x00\x00\x00h\x15G@g\xb2\xd9\x97\x85O usK\x02}\x94K\x03}\x94(h\x14G@\x810\x00\x00\x00\x00\x00h\x15G@T\x1e\xa9\\U\xb4\xfdusK\x03}\x94K\x04}\x94(h\x14G@\x8c \x00\x00\x00\x00\x00h\x15G@W9\xb1\x19\xf2}\x9cusK\x04}\x94u\x8c\x05_succ\x94h\x11\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x13sK\x02}\x94K\x01h\x17sK\x03}\x94K\x02h\x19sK\x04}\x94K\x03h\x1bsuub.'
12,93713,22.479937941855898,20.686299719677763,1205,1,3000.0,28.519720718292426,0.0,0.0,
13,93713,19.647593020473963,19.371604048797973,2085,1,44000.0,270.62504470110855,1.0,-1.0,
14,93713,21.500157987729303,20.531826038554485,2125,1,2000.0,189.443812029031,2.0,-1.0,
15,93713,21.21294955146985,21.371713902771805,2205,1,4000.0,76.92861189175451,3.0,-1.0,
